ID,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Days_Since_Customer,Marital_Status_Ct,Num_Kids,Tot_Cmp_Accepted,Itm_Total
5524,Graduation,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,65,3873.5868242974657,1,0,0,2252
2174,Graduation,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,68,3027.5868242974652,1,2,0,38
4141,Graduation,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,57,3374.5868242974657,2,0,0,1202
6182,Graduation,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,38,2967.5868242974652,2,1,0,64
5324,PhD,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,41,3223.5868242974657,2,1,0,595
7446,Master,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,55,3355.5868242974657,2,1,0,1236
965,Graduation,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,51,3655.5868242974657,1,1,0,825
6177,PhD,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,37,3390.5868242974657,2,1,0,245
4855,PhD,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,48,3450.5868242974657,2,1,0,60
5899,PhD,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,0,72,3170.5868242974657,2,2,1,77
1994,Graduation,52247.25135379061,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,39,3288.5868242974657,2,1,0,24
387,Basic,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,46,3655.5868242974657,2,0,0,67
2125,Graduation,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,63,3288.5868242974657,1,0,0,1296
8180,Master,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,70,3288.5868242974657,1,2,0,543
2569,Graduation,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,35,3689.5868242974657,2,0,0,49
2114,PhD,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,76,3644.5868242974657,1,0,2,2321
9736,Graduation,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,42,3614.5868242974657,2,2,0,149
4939,Graduation,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,76,3729.5868242974657,2,0,0,401
6565,Master,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,73,3520.5868242974657,2,1,1,2794
2278,2n Cycle,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,37,3902.5868242974657,1,1,0,137
9360,Graduation,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,40,3752.5868242974657,2,0,0,402
5376,Graduation,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,43,3455.5868242974657,2,1,0,1731
1993,PhD,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,0,73,3615.5868242974657,2,1,1,1839
4047,PhD,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,68,2937.5868242974652,2,1,0,928
1409,Graduation,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,71,3530.5868242974657,2,1,0,714
7892,Graduation,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,53,3575.5868242974657,1,0,0,81
2404,Graduation,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,46,3460.5868242974657,2,2,0,430
5255,Graduation,52247.25135379061,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,36,3556.5868242974657,1,1,0,642
9422,Graduation,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,33,3456.5868242974657,2,1,0,167
1966,PhD,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,57,3281.5868242974657,2,0,1,2356
6864,Master,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,33,3100.5868242974652,1,0,0,38
3033,Master,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,59,3298.5868242974657,2,0,0,430
5710,Graduation,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,0,52,3689.5868242974657,2,1,1,230
7373,PhD,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,1,70,3670.5868242974657,1,2,0,398
8755,Master,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,76,3556.5868242974657,2,0,0,1678
10738,Master,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,71,3366.5868242974657,1,2,0,105
